Job Title,Company Name,Location,Skills,Links,Salary,Requirements,Date
Senior Devops Engineer,Bevatel -,"Dokki, Giza, Egypt ",Full TimeHybridExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Kubernetes · Terraform · Google Cloud · GCP · Cloud · Computer Science · DevOps · Information Technology (IT) · CI/CD,https://wuzzuf.net/jobs/p/wnYNxfGPzi5I-Senior-Devops-Engineer-Bevatel-Giza-Egypt,Confidential,"['Design, implement, and maintain Google Cloud infrastructure using Terraform to automate deployments and manage configurations.', 'Deploy, manage, and troubleshoot Kubernetes clusters, ensuring high availability, scalability, and performance.', 'Configure and maintain HashiCorp Vault for secure secret management across distributed environments.', 'Use Helm for packaging and managing Kubernetes applications, streamlining deployment processes.', 'Develop and optimize CI/CD pipelines to support the continuous integration and delivery of applications.', 'Write and maintain scripts in Golang, Python, and Bash for automation tasks, tooling, and infrastructure management.', 'Monitor and manage databases, ensuring optimized performance, backups, and availability in production.', 'Work closely with development and security teams to implement best practices and ensure secure, efficient, and scalable infrastructure.', 'Troubleshoot and resolve infrastructure and deployment issues to ensure smooth and reliable operations.']",21 days ago
Civil Engineer - Pavement Quality Control,Citylogix ME -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteEntry Level · Engineering - Other · Quality Control · Engineering · Computer Skills · Communication skills,https://wuzzuf.net/jobs/p/DSOcj2LBdjt1-Civil-Engineer---Pavement-Quality-Control-Citylogix-ME-Cairo-Egypt,Confidential,"['We are seeking an enthusiastic, and dedicated Pavement Assessment Engineer to assist in inspecting the quality of our clients’ pavements, roads, sidewalks, and other infrastructures. In this role, this individual will be monitoring our large database, input necessary data entries, record quality standard and analytical measures. As well as preparing daily reports for internal teams.  ', ' ', 'The ideal candidate is extremely talented at paying attention to details, can accomplish repetitive tasks flawlessly and can manage tight deadlines in a fast-paced environment.  ']",27 days ago
AI Engineer – Arabic OCR Specialist,Epic Systems -,"Zamalek, Cairo, Egypt ",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Arabic · Computer Science · Engineering · AI · English,https://wuzzuf.net/jobs/p/1q6YNmeb5zp8-AI-Engineer-–-Arabic-OCR-Specialist-Epic-Systems-Cairo-Egypt,Confidential,"['Develop AI-powered OCR solutions for Arabic text, including printed and handwritten scripts.', 'Utilize deep learning and computer vision techniques for text detection and recognition.', 'Train and fine-tune OCR models using Tesseract, EasyOCR, PaddleOCR, and deep learning frameworks (TensorFlow, PyTorch, OpenCV).', 'Enhance OCR accuracy through preprocessing, image enhancement, and text segmentation techniques.', 'Optimize OCR models for speed, scalability, and accuracy, including right-to-left (RTL) text handling.', 'Work with Natural Language Processing (NLP) techniques to improve post-processing of OCR outputs.', 'Integrate OCR models into web and mobile applications for real-world deployment.', 'Research and stay up-to-date with advancements in OCR and Arabic language AI technologies.']",22 days ago
Junior System Engineer,El-Amir Group -,"Nozha, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/R7t1yZmPA1sW-Junior-System-Engineer-El-Amir-Group-Cairo-Egypt,"Confidential, Medical Insurance - Mobile Line","['System Administration:\nInstallation and Configuration: Set up and configure servers, operating systems, and applications.\nMaintenance: Perform regular maintenance tasks such as patch management, updates, and system monitoring.', 'Installation and Configuration: Set up and configure servers, operating systems, and applications.', 'Maintenance: Perform regular maintenance tasks such as patch management, updates, and system monitoring.', 'Troubleshooting and Support:\nIssue Resolution: Troubleshoot and resolve system issues, including hardware, software, and network problems.\nTechnical Support: Provide technical support to end-users and other IT staff.', 'Issue Resolution: Troubleshoot and resolve system issues, including hardware, software, and network problems.', 'Technical Support: Provide technical support to end-users and other IT staff.', 'System Monitoring:\nPerformance Monitoring: Monitor system performance and availability using tools and dashboards.\nAlert Management: Respond to alerts and notifications about system issues or failures.', 'Performance Monitoring: Monitor system performance and availability using tools and dashboards.', 'Alert Management: Respond to alerts and notifications about system issues or failures.', 'Backup and Recovery:\nBackup Management: Implement and manage backup solutions to ensure data is securely backed up and retrievable.\nDisaster Recovery: Assist in disaster recovery planning and testing to ensure business continuity.', 'Backup Management: Implement and manage backup solutions to ensure data is securely backed up and retrievable.', 'Disaster Recovery: Assist in disaster recovery planning and testing to ensure business continuity.', 'Security:\nAccess Control: Manage user accounts, permissions, and security settings to protect system resources.\nPatch Management: Apply security patches and updates to safeguard systems against vulnerabilities.', 'Access Control: Manage user accounts, permissions, and security settings to protect system resources.', 'Patch Management: Apply security patches and updates to safeguard systems against vulnerabilities.', 'Documentation:\nConfiguration Documentation: Maintain documentation for system configurations, procedures, and troubleshooting steps.\nIncident Reporting: Document incidents and resolutions for future reference and learning.', 'Configuration Documentation: Maintain documentation for system configurations, procedures, and troubleshooting steps.', 'Incident Reporting: Document incidents and resolutions for future reference and learning.', 'Collaboration:\nTeam Work: Work closely with senior engineers, IT managers, and other stakeholders to support and enhance system operations.\nProject Assistance: Assist in IT projects, such as system upgrades or migrations.', 'Team Work: Work closely with senior engineers, IT managers, and other stakeholders to support and enhance system operations.', 'Project Assistance: Assist in IT projects, such as system upgrades or migrations.', 'Learning and Development:\nSkill Enhancement: Stay updated with the latest technologies and best practices in system engineering.\nTraining: Participate in training sessions and professional development opportunities.', 'Skill Enhancement: Stay updated with the latest technologies and best practices in system engineering.', 'Training: Participate in training sessions and professional development opportunities.']",23 days ago
GIS Technician,Citylogix ME -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Arc GIS · GIS · QGIS,https://wuzzuf.net/jobs/p/NJKCWBpb79HZ-GIS-Technician-Citylogix-ME-Cairo-Egypt,Confidential,"[""Citylogix is a premier data provider and analytics company serving smart cities’ transportation infrastructure needs. We bring together computer vision, machine learning, data science, and sensing expertise to provide diagnostics for the world's transportation infrastructure."", 'Citylogix’s core business today is a pavement and sidewalk management service providing a fast, objective analysis, ensuring that repair decisions are based on up-to-date and complete data. Our innovative mobile sensing technologies detect roadway and sidewalk defects on a road. In addition, Citylogix also has the option of mapping other assets, such as street signs and pavement markings.', 'We are searching for an enthusiastic, dedicated, full-time GIS Technician to assist with digitization and database management. You will be working with the latest database technologies and be part of a team that is developing a GIS application that is at the forefront of survey and transportation civil infrastructure asset management. We highly value a solid technical background and strong analytical skills that aid in identifying bottlenecks and developing novel solutions. You will be part of an energetic, interdisciplinary, fast paced operations team, and will be exposed to a variety of techniques in data management, database, GIS, and related fields. We expect that you will take creative ownership of your assignments and lead them to successful conclusion in a timely manner.', ' ']",24 days ago
Senior Software Quality Control Engineer,SURE International Technology -,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Quality Control · Analytical Skills · Control · Engineering · Software Testing,https://wuzzuf.net/jobs/p/A9UfSDRIVJv0-Senior-Software-Quality-Control-Engineer-SURE-International-Technology-Cairo-Egypt,Confidential,"['Job Summary:', ' We are looking for a QC Manual Engineer to ensure the quality and reliability of our software products. This\nrole involves manual testing of web and mobile applications, identifying defects, and collaborating with\ndevelopers to enhance product stability. The ideal candidate will be responsible for writing and executing\ndetailed test cases, reporting issues, and verifying bug fixes.\nKey Responsibilities:\n\uf0b7 Develop, execute, and maintain detailed test cases based on functional and non-functional\n    requirements.\n\uf0b7 Perform manual testing for web and mobile applications, including UI, API, functional, regression, and\n    exploratory testing.\n\uf0b7 Identify, document, and track defects using JIRA, TestRail, or similar tools.\n\uf0b7 Validate backend operations and perform basic SQL queries to ensure data consistency.\n\uf0b7 Conduct cross-browser and cross-platform testing to ensure compatibility.\n\uf0b7 Work closely with developers to reproduce and troubleshoot issues.\n\uf0b7 Participate in requirement reviews to ensure test coverage and early detection of defects.\n\uf0b7 Perform user acceptance testing (UAT) and assist stakeholders in verifying application functionality.\n\uf0b7 Ensure test execution aligns with agile development methodologies (Scrum/Kanban).\n\uf0b7 Maintain test documentation, checklists, and reports for tracking quality metrics.']",26 days ago
Business Analyst,Etqan Consultancy -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Analysis · Computer Science · Data Analysis · Data Analyst · Information Technology (IT) · SQL · Data,https://wuzzuf.net/jobs/p/hNNS47WR4tvo-Business-Analyst-Etqan-Consultancy-Cairo-Egypt,Confidential,"['Interpret data, analyze results using statistical techniques and provide ongoing reports', 'Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality', 'Acquire data from primary or secondary data sources and maintain databases/data systems', 'Identify, analyze, and interpret trends or patterns in complex data sets', 'Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems', 'Work with management to prioritize business and information needs', 'Locate and define new process improvement opportunities']",26 days ago
System Administrator,Sandah for micro finance -,"Mohandessin, Giza, Egypt ",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Networks · System Administration · System administrator · WAN,https://wuzzuf.net/jobs/p/ePAhOS6xohbY-System-Administrator-Sandah-for-micro-finance-Giza-Egypt,Confidential,"['Install, configure, and maintain Linux and Microsoft Windows Server environments, including Active Directory, DNS, and Group Policy and Perform server administration tasks (ex: user/group, security permissions, group policies); research event-log warnings and errors; and monitor resources to ensure that systems architecture components work together seamlessly.', 'Check all servers’ services, VMS, replication between sites, High availability, and redundancy, execute healthy and performance check.', 'Experience on Microsoft 365 Exchange, Mail Flow, Client connectivity (On-prem and cloud), Device management, Load balancing, Authentication and Hybrid Identity technologies.', 'Automate tasks and streamline workflows using scripting tools.', 'Virtualization: Manage and support VMware environments, including ESXi servers, vCenter, and VM provisioning.', 'Backup and Recovery: Implement and manage backup solutions and disaster recovery processes to protect data and maintain business continuity.', 'Monitoring and Optimization: Monitor system performance and availability, identifying and resolving issues proactively.', 'Security Management: Implement and maintain security best practices, including patch management, firewall configurations, and user access controls.', 'User Support: Provide technical support to end-users, troubleshooting hardware and software issues as needed.', 'Collaboration: Work closely with other IT teams and departments to ensure the seamless integration of systems and services.', 'Stay up to date on the latest technology trends.']",28 days ago
Full Stack Developer,TryAladdin -,"Cairo, Egypt ",Full TimeRemoteExperienced · 2 - 20 Yrs of Exp · IT/Software Development · JavaScript · MySQL · CSS · Angular · Software Development · Full Stack · Git · HTML · Shopify,https://wuzzuf.net/jobs/p/5rqBgjyUAilb-Full-Stack-Developer-TryAladdin-Cairo-Egypt,Confidential,"['We are seeking a highly skilled and results-driven Full Stack Engineer to join our team. In this role, you will be responsible for the design, development, and implementation of both front-end and back-end web applications. You will collaborate with designers, other developers and product managers to ensure that all parts of our applications function smoothly. You should be proficient in multiple programming languages, frameworks, and technologies, enabling you to handle the entire development lifecycle.']",28 days ago
Software Tester / QA Engineer - Remote,Guestna -,"Riyadh, Saudi Arabia ",Full TimeRemoteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Quality · React · Node.js · Automation Testing · Quality Assurance,https://wuzzuf.net/jobs/p/kjg1BtWPwfXG-Software-Tester-QA-Engineer---Remote-Guestna-Riyadh-Saudi-Arabia,Confidential,"['Develop & Execute Test Plans: Design and implement manual and automated test cases to ensure application reliability and user satisfaction.', 'Develop & Execute User Acceptance Testing (UAT): Design and implement UAT scenarios that simulate users interactions and cover platform features.', 'Automation Testing: Develop and maintain automated test scripts using Selenium, Cypress, Playwright, or similar tools to enhance test coverage.', 'Manual Testing: Conduct functional, regression, usability, and exploratory testing to identify issues before release.', 'API Testing: Test and validate RESTful APIs using Postman, REST Assured, or similar tools.', 'Performance Testing: Ensure application scalability and responsiveness through JMeter, k6, or similar performance testing tools.', 'Security & Compliance: Identify potential security vulnerabilities and work with the development team to mitigate risks.', 'Bug Tracking & Reporting: Log and track defects in JIRA, Trello, or a similar project management tool, ensuring timely resolution.', 'Continuous Integration & Deployment (CI/CD): Work closely with DevOps to integrate automated tests into the CI/CD pipeline (e.g., GitHub Actions, Jenkins, CircleCI).', 'Agile Testing: Participate in Scrum/Kanban workflows, attending sprint planning, stand-ups, and retrospectives.', 'Cross-Browser & Mobile Testing: Ensure platform compatibility across multiple browsers, devices, and screen sizes.']",29 days ago
